,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
166,SQL - MySQL for Data Analytics and Business Intelligence,"SQL that will get you hired â€“ SQL for Business Analysis, Marketing, and Data Management",https://udemy-images.udemy.com/course/125_H/1405632_6e6f.jpg,365 Careers,/sql-mysql-for-data-analytics-and-business-intelligence/,$194.99,Business,268,Data & Analytics,44,4.52
167,Linux Administration Bootcamp: Go from Beginner to Advanced,Learn Red Hat Linux & CentOS: Use the in-demand skills to start a career as a Linux Server Admin or Linux Administrator!,https://udemy-images.udemy.com/course/125_H/924090_507a_3.jpg,Jason Cannon,/linux-administration-bootcamp/,$199.99,IT & Software,294,Operating Systems,138,4.5
168,Business Analysis Fundamentals - 2018,Become a Business Analyst: Learn the core concepts of business analysis to land your dream Business Analysis job!,https://udemy-images.udemy.com/course/125_H/751792_622e_8.jpg,Jeremy Aschenbrenner | The BA Guide,/business-analysis-ba/,$199.99,Business,268,Data & Analytics,44,4.47
169,Premiere Pro CC for Beginners: Updated for 2018!,Learn how to edit videos in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials.,https://udemy-images.udemy.com/course/125_H/926512_6fdf_3.jpg,Phil Ebiner,/adobe-premiere-pro-video-editing/,$199.99,Photography,273,Video Design,218,4.68
170,Deep Learning: GANs and Variational Autoencoders,"Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow",https://udemy-images.udemy.com/course/125_H/1281492_28d8_3.jpg,Lazy Programmer Inc.,/deep-learning-gans-and-variational-autoencoders/,$179.99,Business,268,Data & Analytics,44,4.65
171,The Complete Investment Banking Course 2018,"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds , M&A, Trading, LBOs, Valuation: Everything  is included!",https://udemy-images.udemy.com/course/125_H/965832_212f_3.jpg,365 Careers,/the-complete-investment-banking-course-2016/,$194.99,Business,268,Finance,24,4.44
172,Complete Guide to TensorFlow for Deep Learning with Python,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques!,https://udemy-images.udemy.com/course/125_H/1326292_4dcf.jpg,Jose Portilla,/complete-guide-to-tensorflow-for-deep-learning-with-python/,$194.99,Development,288,Programming Languages,12,4.55
173,Become a Product Manager | Learn the Skills & Get the Job,"The most complete course available on Product Management. 13+ hours of videos, activities, interviews, & more",https://udemy-images.udemy.com/course/125_H/673654_d677_7.jpg,Cole Mercer,/become-a-product-manager-learn-the-skills-get-a-job/,$194.99,Business,268,Management,30,4.47
174,Photorealistic Digital Painting From Beginner To Advanced.,Bring your imagination to life!,https://udemy-images.udemy.com/course/125_H/1239574_6e76.jpg,Austin Batchelor,/photorealistic-digital-painting-from-beginner-to-advanced/,$109.99,Design,269,Game Design,116,4.5
175,Beginner to Pro in Excel: Financial Modeling and Valuation,Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,https://udemy-images.udemy.com/course/125_H/321410_d9c5_3.jpg,365 Careers,/beginner-to-pro-in-excel-financial-modeling-and-valuation/,$194.99,Business,268,Finance,24,4.52
176,Data Science A-Z™: Real-Life Data Science Exercises Included,"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",https://udemy-images.udemy.com/course/125_H/513244_b831_2.jpg,Kirill Eremenko,/datascience/,$199.99,Business,268,Data & Analytics,44,4.52
177,Writing With Flair 2.0: How To Become An Exceptional Writer,"Ex-Wall Street Journal Editor Teaches How To Make Your Blogs, Books & Business Writing Sparkle",https://udemy-images.udemy.com/course/125_H/1325746_9179_3.jpg,Shani Raja,/writing-with-flair-second-edition/,$199.99,Business,268,Communications,28,4.55
178,Scrum Certification Prep +Scrum Master+ Agile Scrum Training,Overview of Scrum Agile project management+common questions & tips to pass scrum . org ONLINE Scrum Master Certification,https://udemy-images.udemy.com/course/125_H/362632_4f4f_2.jpg,Paul Ashun,/scrum-certification/,$194.99,Development,288,Software Engineering,20,4.25
179,Shell Scripting: Discover How to Automate Command Line Tasks,"Learn shell programming for Linux, Unix, & Mac. Learn how to write shell scripts like a pro & solve real-world problems!",https://udemy-images.udemy.com/course/125_H/563066_4981_2.jpg,Jason Cannon,/shell-scripting-linux/,$94.99,Development,288,Programming Languages,12,4.41
180,Master Java Web Services and REST API with Spring Boot,Learn to develop RESTful and SOAP Java Web Services with Spring and Spring Boot in 90 easy steps,https://udemy-images.udemy.com/course/125_H/1302610_5c62_2.jpg,in28Minutes Official,/spring-web-services-tutorial/,$199.99,Development,288,Web Development,8,4.39
181,Build an app with ASPNET Core and Angular from scratch,A practical example of how to build an application with ASP.NET Core WebAPI (v2) and Angular (v5) from start to finish,https://udemy-images.udemy.com/course/125_H/1455016_0b2d_2.jpg,Neil Cummings,/build-an-app-with-aspnet-core-and-angular-from-scratch/,$189.99,Development,288,Web Development,8,4.7
182,Learning Python for Data Analysis and Visualization,"Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!",https://udemy-images.udemy.com/course/125_H/396876_cc92_7.jpg,Jose Portilla,/learning-python-for-data-analysis-and-visualization/,$194.99,Development,288,Programming Languages,12,4.45
183,User Experience Design Fundamentals,Design Web Sites and Mobile Apps that Your Users Love and Return to Again and Again with UX Expert Joe Natoli.,https://udemy-images.udemy.com/course/125_H/58207_2ec2_6.jpg,Joe Natoli,/user-experience-design-fundamentals/,$94.99,Design,269,User Experience,114,4.33
