,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
415,"Full Cryptocurrency Course: Bitcoin, Ethereum & Blockchain","Learn All About Bitcoin, Ethereum & The Blockchain Technology That Makes Cryptocurrency Work! Let's Start Investing!",https://udemy-images.udemy.com/course/480x270/1464932_1e69_4.jpg,Marcus Gustafsson,/full-cryptocurrency-course-bitcoin-ethereum-blockchain/,$99.99,IT & Software,294,Other,140,4.65
416,Build a Dropshipping Empire From Scratch. Proven Blueprint,Turn a Few Dollars into Financial Freedom Using a Proven Step-by-Step System to Create Your Own Drop Shipping Empire,https://udemy-images.udemy.com/course/480x270/661030_70d3_5.jpg,Theo McArthur,/dropship-your-way-to-2000-per-week-the-complete-blueprint/,$149.99,Business,268,Home Business,46,4.61
417,Lead Generation Machine: Cold Email B2B Sales Master Course,"Schedule meetings emailing small to large companies for business development, B2B, startup, consultants, & entrepreneurs",https://udemy-images.udemy.com/course/480x270/1393266_e5de.jpg,Patrick Dang,/lead-generation-machine-the-cold-emailing-master-course/,$194.99,Business,268,Sales,32,4.66
418,Microsoft Project 2016: BEGINNER to EXPERT 10 Projects 9 PDU,Learn MS Project 2016 HANDS-ON & FAST with COMPLETE real life examples. BONUS 125 project files FREE PMI approved 9 PDUs,https://udemy-images.udemy.com/course/480x270/831116_92e7_2.jpg,Srikanth Shirodkar,/microsoft-project-tutorial/,$199.99,Office Productivity,292,Microsoft,96,4.51
419,Android Kotlin Development Masterclass using Android Oreo,Kotlin will overtake Java for Android app development.  Improve career options with Android Studio. Create your own app,https://udemy-images.udemy.com/course/480x270/1424326_2ee2_2.jpg,Tim Buchalka,/android-oreo-kotlin-app-masterclass/,$199.99,Development,288,Mobile Apps,10,4.54
420,Master Microsoft Excel Macros and Excel VBA,Project Based Course on Excel VBA (Visual Basic for Applications) and Excel Macros,https://udemy-images.udemy.com/course/480x270/690066_6b76_4.jpg,Kyle Pew,/master-microsoft-excel-macros-and-vba-with-5-simple-projects/,$49.99,Office Productivity,292,Microsoft,96,4.54
421,The Complete Networking Fundamentals Course. Your CCNA start,Learn about networking and start your journey to CCNA,https://udemy-images.udemy.com/course/480x270/751094_fb27_2.jpg,David Bombal,/complete-networking-fundamentals-course-ccna-start/,$19.99,IT & Software,294,Network & Security,134,4.65
422,Become a Game Designer the Complete Series Coding to Design,"Learn Unity, 3D game design, 2D game design, coding, C#, game development, 3D animation, game programming, Unity3D",https://udemy-images.udemy.com/course/480x270/526534_04bb_4.jpg,School of Game Design .,/become-a-game-designer/,$199.99,Design,269,Game Design,116,4.42
423,The Ethereum trading in 2018 + 99 Algorithmic Trading Robots,Chose the Top performers from the 99 EAs/Robots in the Ethereum trading course,https://udemy-images.udemy.com/course/480x270/1471502_e0c2_4.jpg,Petko Zhivkov Aleksandrov,/the-ethereum-trading-course-99-algorithmic-trading-robots/,$199.99,Business,268,Finance,24,4.78
424,The Java Spring Tutorial: Learn Java's Popular Web Framework,"Learn the hottest, most in-demand Java web framework, including web programming with Spring MVC and Hibernate. Lifetime access with no subscription on Udemy.",https://udemy-images.udemy.com/course/480x270/65830_9629_3.jpg,John Purcell,/javaspring/,$34.99,Development,288,Programming Languages,12,4.42
425,Learn Ionic 3 From Scratch,"Create Cross Platform Mobile Applications with Ionic 3, Angular 4, TypeScript and Firebase.",https://udemy-images.udemy.com/course/480x270/1168848_64db_4.jpg,Paul Halliday (BSc Hons),/learn-ionic-3-from-scratch/,$179.99,Development,288,Mobile Apps,10,4.51
426,The Complete Machine Learning Course with Python,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More!",https://udemy-images.udemy.com/course/480x270/1382702_a351.jpg,Codestars by Rob Percival,/machine-learning-course-with-python/,$199.99,Business,268,Data & Analytics,44,4.39
427,Practical Data Structures & Algorithms in Java + HW,Keep it Practical! Learn in-depth the most popular Data structures & Searching Algorithms,https://udemy-images.udemy.com/course/480x270/798580_82ce_3.jpg,Imtiaz Ahmad,/practical-data-structures-algorithms-in-java/,$149.99,Development,288,Programming Languages,12,4.56
428,Writing With Impact: Writing That Persuades,A University of Cambridge writing tutor takes you from complete business writing beginner to a copywriting pro!,https://udemy-images.udemy.com/course/480x270/335610_c058_4.jpg,Clare Lynch,/writing-for-business/,$199.99,Business,268,Communications,28,4.52
429,"Music Theory Comprehensive Combined: Part 7, 8, & 9",Master College-Level Music Theory,https://udemy-images.udemy.com/course/480x270/1327254_6aa1.jpg,Jason Allen,/music-theory-comprehensive-combined-part-7-8-9/,$114.99,Music,278,Music Fundamentals,300,4.8
430,Dissecting Ruby on Rails 5 - Become a Professional Developer,"Don't simply follow a tutorial, learn what it really takes to become a pro Rails developer with this immersive course.",https://udemy-images.udemy.com/course/480x270/1052118_d5a9.jpg,Jordan Hudgens,/professional-rails-5-development-course/,$194.99,Development,288,Web Development,8,4.72
431,Double Your Confidence & Self Esteem - Complete Blueprint,Confidence. Self Esteem. Social Skills. Social Success. Social & Inner Confidence. Body Language. Charisma. Influence.,https://udemy-images.udemy.com/course/480x270/103738_61ad_7.jpg,Jimmy Naraine,/double-your-confidence-self-esteem/,$149.99,Personal Development,296,Self Esteem,168,4.41
432,The Complete Python Course | Learn Python by Doing,Go from Beginner to Expert in Python by building projects. The best investment for your Python journey!,https://udemy-images.udemy.com/course/480x270/1547268_1b84_2.jpg,Codestars by Rob Percival,/the-complete-python-course/,$179.99,Development,288,Programming Languages,12,4.68
433,The Professional Guitar Masterclass,Learn The Tools Used By The World's Top Professional Guitar Players.,https://udemy-images.udemy.com/course/480x270/456284_80ce_9.jpg,Michael Palmisano,/the-professional-guitar-masterclass/,$199.99,Music,278,Instruments,296,4.57
434,The Story Course,"Be a Great Storyteller: How to Create, Write and Tell Stories That Matter and Engage Your Audience Each and Every Time",https://udemy-images.udemy.com/course/480x270/1597516_b10a.jpg,Paul Jenkins,/the-story-course/,$169.99,Personal Development,296,Creativity,164,4.95
435,Start Using Wireshark to Hack like a Pro,"Start your first capture, use Wireshark features to understand the data and analyze the network communication",https://udemy-images.udemy.com/course/480x270/929844_b4ab.jpg,Kevin Cardwell,/start-using-wireshark-to-hack-like-a-pro/,$39.99,IT & Software,294,Network & Security,134,4.65
436,Microsoft Excel - From Beginner to Expert in 6 Hours,This Microsoft Excel class will make you a master of Microsoft Excel. The training uses Excel 2013 for Windows.,https://udemy-images.udemy.com/course/480x270/49250_a658_8.jpg,Todd McLeod,/thebestexcel/,$24.99,Office Productivity,292,Microsoft,96,4.48
437,How I Hit #1 on Google: The 2018 Complete SEO Course,"Secrets to Improve Search Position, Conversions, Traffic, Sales, Page Speed, Content, Shares & Links",https://udemy-images.udemy.com/course/480x270/329970_b7e1_11.jpg,iMarket XL,/seo-ultimate-guide/,$194.99,Marketing,290,Search Engine Optimization,64,4.32
438,ADVANCED Swing Trading Strategy -Forex Trading/Stock Trading,A Complete - Profitable Forex Trading & Stock Trading Strategy. Master the Swings of the Trends & Earn Consistent Profit,https://udemy-images.udemy.com/course/480x270/1400902_eb12_6.jpg,Syed Rahman,/advanced-swing-trading-strategy-master-of-all-strategies/,$199.99,Business,268,Strategy,34,4.54
439,The Complete Android Kotlin Developer Course,"Learn how to make online games, and apps for Android O, like PokÃ©mon , twitter,Tic Tac Toe, and notepad using Kotlin",https://udemy-images.udemy.com/course/480x270/1207960_a8af_2.jpg,Hussein Al Rubaye,/the-complete-kotlin-developer-course/,$199.99,Development,288,Mobile Apps,10,4.33
440,Microservices with Spring Cloud,"A deep-dive into the Microservice architectural style, and how to implement it with Spring technologies.",https://udemy-images.udemy.com/course/480x270/496050_6db3_2.jpg,Ken Krueger,/microservices-with-spring-cloud/,$34.99,Development,288,Software Engineering,20,4.48
441,Become AWS Certified - Solutions Associate CSA Practice Test,200 Practice Questions to Help You Pass the AWS Certified Solution Architect Associate exam first time!,https://udemy-images.udemy.com/course/480x270/1524704_3565_2.jpg,Codestars by Rob Percival,/awscsaexam/,$199.99,IT & Software,294,IT Certification,132,4.26
442,Learn Microsoft PowerPoint 2013 the Easy Way - 9 Hours,Master Your Presentation! Get 9-hour of PowerPoint training and learn how to use PowerPoint 2013 effectively,https://udemy-images.udemy.com/course/480x270/39952_a8f5_3.jpg,Simon Sez IT,/learn-microsoft-powerpoint-2013-training/,$74.99,Office Productivity,292,Microsoft,96,4.06
443,GCP: Complete Google Data Engineer and Cloud Architect Guide,"The Google Cloud for ML with TensorFlow, Big Data with Managed Hadoop",https://udemy-images.udemy.com/course/480x270/1299656_ad0c.jpg,Loony Corn,/gcp-data-engineer-and-cloud-architect/,$99.99,Development,288,Software Testing,18,4.27
444,The Complete Presentation and Public Speaking/Speech Course,From page to stage; learn everything you need to know about giving a great speech for business & personal presentations.,https://udemy-images.udemy.com/course/480x270/1098006_6917_3.jpg,Chris Haroun,/the-complete-presentation-and-public-speaking-speech-course/,$199.99,Business,268,Communications,28,4.28
445,"Ultimate Ableton Live 9 COMPLETE: Parts 1, 2, & 3","Learning Ableton Live the right way: From the basics to the advanced, from Ableton Certified Trainer J. Anthony Allen.",https://udemy-images.udemy.com/course/480x270/890884_814e.jpg,Jason Allen,/ultimate-ableton-live-complete/,$99.99,Music,278,Music Software,306,4.57
446,Apache Kafka Series - Kafka Security (SSL SASL Kerberos ACL),"Hands-On Course - Kafka Security Setup in AWS with SSL Encryption & Authentication, SASL Kerberos, ACL in Zookeeper",https://udemy-images.udemy.com/course/480x270/1562668_6f06_2.jpg,Stephane Maarek,/apache-kafka-security/,$199.99,IT & Software,294,Network & Security,134,4.89
447,"Beginner API development in Node, Express, ES6, & MongoDB",REST API backend development. Build Node API and restful express API,https://udemy-images.udemy.com/course/480x270/1009254_711d_2.jpg,Mark Price,/api-development/,$164.99,Development,288,Web Development,8,4.39
448,[2018] Growth Hacking with Digital Marketing (version 5.2),"The world's BESTSELLING growth hacking course! Become a modern digital marketing leader. Over 30,000 alumni worldwide!",https://udemy-images.udemy.com/course/480x270/496924_8ed7_16.jpg,"Davis Jones, MBA",/growth-hacking-masterclass-become-a-digital-marketing-ninja/,$194.99,Marketing,290,Growth Hacking,86,4.36
449,"Cryptocurrency Fundamentals: Buy, Sell Trade Cryptocurrency","Quickly learn how to use, buy, sell and trade Cryptocurrency in this top rated video course and accompanying PDF Guide.",https://udemy-images.udemy.com/course/480x270/1354948_612b.jpg,George Levy,/cryptocurrency-fundamentals/,$94.99,IT & Software,294,Other,140,4.7
450,Become a Great Singer: Your Complete Vocal Training System,"For Serious Vocalists. Immediately Improve Your Singing. (Any Level, Any Style)",https://udemy-images.udemy.com/course/480x270/1250174_48d9_7.jpg,Robert Lunte,/become-a-great-singer-your-complete-vocal-training-system/,$199.99,Music,278,Vocal,302,4.52
451,Learn JIRA with real-world examples (+Confluence bonus),"Learn to work on, manage & administer agile projects with this comprehensive course on JIRA Software & Confluence",https://udemy-images.udemy.com/course/480x270/1120038_2d02_5.jpg,Kosh Sarkar,/the-complete-guide-to-jira-with-real-world-examples/,$49.99,Development,288,Development Tools,362,4.5
452,The Complete React Js & Redux Course - Build Modern Web Apps,"Go from Beginner to React Js Expert by building an Instagram like Web App with React 16, React Router, Redux & Firebase!",https://udemy-images.udemy.com/course/480x270/1471444_75ef.jpg,Codestars by Rob Percival,/the-complete-react-js-redux-course-build-modern-web-apps/,$199.99,Development,288,Web Development,8,4.69
453,Docker Swarm Mastery: DevOps Style Cluster Orchestration,"Build, automate, and monitor a server cluster for containers using the latest open source on Linux and Windows",https://udemy-images.udemy.com/course/480x270/1362988_fca5.jpg,Bret Fisher,/docker-swarm-mastery/,$199.99,Development,288,Development Tools,362,4.86
454,PMP Exam Prep 2018: Pass the PMP Exam on your first try!,Asses your readiness for the pmp exam - 2Timed tests - 100 Questions each -200 Questions total ( fully updated),https://udemy-images.udemy.com/course/480x270/1494160_26fb.jpg,Adel Mansour,/pmp-exam-prep-2018-pass-the-pmp-exam-on-your-first-try/,$104.99,Test Prep,298,Test Taking Skills,348,4.65
455,The Basics of Blockchain,A Beginner's Guide to Blockchain,https://udemy-images.udemy.com/course/480x270/953294_3359_2.jpg,Tom Serres,/the-basics-of-blockchain/,$34.99,Business,268,Other,60,4.17
456,Selenium WebDriver with Java & Cucumber BDD,Build a start to finish web automation testing framework and simulate user behavior on a web application + LIVE TEST APP,https://udemy-images.udemy.com/course/480x270/1343662_39c4_6.jpg,Tim Short,/automate-tests-using-selenium-webdriver-with-java-cucumber/,$149.99,Development,288,Software Testing,18,4.28
457,Bash Scripting and Shell Programming (Linux Command Line),"Learn bash programming for Linux, Unix, & Mac. Learn how to write bash scripts like a pro & solve real-world problems!",https://udemy-images.udemy.com/course/480x270/958532_478a_4.jpg,Jason Cannon,/bash-scripting/,$199.99,Development,288,Programming Languages,12,4.33
458,Docker for the Absolute Beginner - Hands On,Learn Docker with Hands On Coding Exercises,https://udemy-images.udemy.com/course/480x270/1332278_4ea6_2.jpg,Mumshad Mannambeth,/learn-docker/,$64.99,IT & Software,294,Other,140,4.58
459,Kotlin for Android: Beginner to Advanced,"Kotlin is an expressive, concise & powerful development language on Android. Learn everything you need to know to start",https://udemy-images.udemy.com/course/480x270/1323462_db04_2.jpg,Devslopes by Mark Price,/devslopes-android-kotlin/,$199.99,Development,288,Mobile Apps,10,4.61
460,Oracle Java Certification - Pass the Associate 1Z0-808 Exam!,This course helps you learn the steps to becoming an Oracle Certified Associate (OCA) and get that higher paying job!,https://udemy-images.udemy.com/course/480x270/1326802_8935_3.jpg,Tim Buchalka's Learn Programming Academy,/oracle-java-associate-certification-exam-course-1z0-808/,$194.99,Development,288,Programming Languages,12,4.45
461,Finding Your Life's Purpose by Eckhart Tolle,A session with Eckhart Tolle to free you from the trap of compulsive thinking.,https://udemy-images.udemy.com/course/480x270/556814_93a0_5.jpg,Eckhart Tolle,/finding-your-lifes-purpose-by-eckhart-tolle/,$79.99,Personal Development,296,Personal Transformation,142,4.47
462,English Grammar Launch: Upgrade your speaking and listening,"Learn English grammar through lectures and listening and speaking practice, so you can confidently speak English.",https://udemy-images.udemy.com/course/480x270/1008166_b09b.jpg,Anthony Kelleher,/learn-english-grammar-upgrade-your-speaking-and-listening/,$39.99,Language,279,English,254,4.64
463,The Board Game Developer - Become A Game Design Ninja,"Learn the principles of game design by developing board games, paper prototyping video games and more.",https://udemy-images.udemy.com/course/480x270/1256744_8682_4.jpg,Yann Burrett,/boardgames/,$99.99,Development,288,Game Development,14,4.55
464,Tech Explorations™ Arduino Step by Step Your complete guide,The original comprehensive course designed for new and intermediate-level Arduino Makers,https://udemy-images.udemy.com/course/480x270/79846_2454_11.jpg,Dr. Peter Dalmaris,/arduino-sbs/,$199.99,IT & Software,294,Hardware,136,4.43
465,IT Security and Ethical Hacking,"Learn the basics of IT Security, Ethical Hacking and its various concepts. Work on becoming a Certified Ethical Hacker!",https://udemy-images.udemy.com/course/480x270/432514_d638_3.jpg,LearnSmart LLC,/it-security-and-ethical-hacking/,$199.99,IT & Software,294,Network & Security,134,4.05
466,Android N: From Beginner to Paid Professional,Comprehensive Android Nougat app development,https://udemy-images.udemy.com/course/480x270/705934_83b6.jpg,Mark Price,/learn-android/,$199.99,Development,288,Mobile Apps,10,4.44
467,Productivity Masterclass: How To Powerfully Get Things Done,Master The 4 Step Framework To Make More Progress Towards Your Goals In The Next 30 Days Than In The Last Two Years,https://udemy-images.udemy.com/course/480x270/1527902_1c4e_2.jpg,Brandon Hakim,/productivity-masterclass-how-to-powerfully-get-things-done/,$194.99,Personal Development,296,Productivity,144,4.72
468,Linux Mastery: Master the Linux Command Line in 11.5 Hours,Learn the Linux Command Line from Scratch and Improve your Career with the World's Most Fun Project-Based Linux Course!,https://udemy-images.udemy.com/course/480x270/1320362_1b73_6.jpg,Ziyad Yehia,/linux-mastery/,$194.99,IT & Software,294,Operating Systems,138,4.68
469,The Digital Painting MEGA Course: Beginner to Advanced,Learn the #1 most important skill for digital artists!,https://udemy-images.udemy.com/course/480x270/1458304_7c2b_3.jpg,Austin Batchelor,/the-digital-painting-mega-course-beginner-to-advanced/,$199.99,Design,269,Other,130,4.68
470,"Awaken Your Heart, Creativity & Wisdom with Tara Brach",Inhabit your full aliveness with embodied awareness,https://udemy-images.udemy.com/course/480x270/942320_580b.jpg,"Tara Brach, Ph.D.",/awaken-your-heart-creativity-wisdom-with-tara-brach/,$144.99,Personal Development,296,Personal Transformation,142,4.4
471,Guitar Super System Level 1,"Learn concepts extracted directly from Berklee College of Music, presented in an interactive, effective, and fun way!",https://udemy-images.udemy.com/course/480x270/484670_7b3d.jpg,Tyler Larson,/guitar-super-system-level-1-unlock-your-potential/,$49.99,Music,278,Instruments,296,4.55
472,Tableau Expert: Top Visualization Techniques in Tableau 10,"Become An Expert In Tableau 10 - Master Visualisation Techniques Including Sankey Diagrams, Viola Charts And More",https://udemy-images.udemy.com/course/480x270/1323630_e250.jpg,Ben Young,/mastering-top-visualization-techniques-in-tableau/,$199.99,Business,268,Data & Analytics,44,4.41
473,Meditation and the Evolution of Consciousness with Daaji,"Guided heartfulness meditation for beginners |Learn to meditate for happiness, improved well being and reducing stress",https://udemy-images.udemy.com/course/480x270/1217180_e6e2_3.jpg,Kamlesh D. Patel,/the-evolution-of-consciousness-heartfulness-meditation/,$19.99,Personal Development,296,Personal Transformation,142,4.85
474,The Complete Facebook Sales Funnel Blueprint,Stop Wasteful Spending on Facebook Ads That Are Not Working. Use the Facebook Sales Funnel to Skyrocket Your Sales!,https://udemy-images.udemy.com/course/480x270/1151620_07ef_11.jpg,Diego Davila,/facebooksales/,$194.99,Marketing,290,Social Media Marketing,66,4.7
475,Taming Big Data with Spark Streaming and Scala - Hands On!,Learn to process massive streams of data in real time on a cluster with Apache Spark Streaming.,https://udemy-images.udemy.com/course/480x270/831458_009d_4.jpg,Sundog Education by Frank Kane,/taming-big-data-with-spark-streaming-hands-on/,$99.99,Business,268,Data & Analytics,44,4.6
476,Cinematography Course: Shoot Better Video with Any Camera,Shoot better video by learning the video production techniques used by Hollywood filmmakers. And get paid to do it!,https://udemy-images.udemy.com/course/480x270/640808_ca84.jpg,Phil Ebiner,/online-cinematography-course-filmmaking-video-production-lighting/,$199.99,Photography,273,Video Design,218,4.38
477,Growl Class - A Workshop Demo for Reactive Dogs,Dr. Ian Dunbar demonstrates how to use a group class setting to deal with dogs that are aggressive towards other dogs,https://udemy-images.udemy.com/course/480x270/356500_a78e_4.jpg,Ian Dunbar,/dunbar-growl-class/,$99.99,Lifestyle,274,Pet Care & Training,192,4.49
478,Kotlin for Java Developers,"Use your Java skills to learn Kotlin fast. Enhance career prospects and master Kotlin, including Java interoperability",https://udemy-images.udemy.com/course/480x270/1322796_9675.jpg,Tim Buchalka's Learn Programming Academy,/kotlin-for-java-developers/,$194.99,Development,288,Programming Languages,12,4.54
479,The Complete Ethical Hacking Course for 2016/2017!,Gain the knowledge hackers use to compromise systems and use it to protect your own!,https://udemy-images.udemy.com/course/480x270/931384_3a37_2.jpg,Ermin Kreponic,/hacking-complete/,$194.99,IT & Software,294,Network & Security,134,4.37
480,How to DRAFT a Business Plan?,Simple method to draft a plan in less than 2 hours.,https://udemy-images.udemy.com/course/480x270/56820_10f2_9.jpg,Timmermans Laurent,/how-to-draft-a-business-plan/,$19.99,Business,268,Strategy,34,4.14
481,Game Music Composition: Make Music For Games From Scratch,"Learn to compose music for any and every type of video game, from complete beginner to competent game music composer",https://udemy-images.udemy.com/course/480x270/953366_6d67.jpg,Karleen Heong,/gamemusiccourse/,$199.99,Music,278,Production,298,4.68
482,"JSP, Servlets and JDBC for Beginners: Build a Database App",JSP: Covers latest versions of JSP 2.3 and Servlets 3.1 - Most Popular JSP/Servlet course,https://udemy-images.udemy.com/course/480x270/618736_237d_5.jpg,Chad Darby,/jsp-tutorial/,$94.99,Development,288,Programming Languages,12,4.7
483,The Complete Facebook Marketing Masterclass,"Dominate Facebook & Instagram, Take Your Business to the Next Level. Start Using the Complete Facebook Marketing Today!",https://udemy-images.udemy.com/course/480x270/1012424_6a70.jpg,Diego Davila,/facebookmarketingsystem/,$194.99,Marketing,290,Social Media Marketing,66,4.53
484,Data Analysis with Pandas and Python,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,https://udemy-images.udemy.com/course/480x270/932344_e14a_2.jpg,Boris Paskhaver,/data-analysis-with-pandas/,$59.99,Development,288,Programming Languages,12,4.61
485,Amazon FBA Course Selling 2018 - Private Label Business A-Z,"+4,000,000 USD Amazon FBA Selling, 2018 Private Label Course, Build an Amazon business on a small budget",https://udemy-images.udemy.com/course/480x270/1521166_23aa_4.jpg,David Weinstock,/amazon-fba-start-a-profitable-business-on-a-small-budget/,$49.99,Business,268,Entrepreneurship,26,4.76
486,The Complete Android & Java Developer Course - Build 21 Apps,"Learn Android Development, Java & Android Studio from Scratch in 5 Weeks. Build Whatsapp Clone, Diary App & more",https://udemy-images.udemy.com/course/480x270/360920_681f_20.jpg,Paulo Dichone,/complete-android-developer-course/,$199.99,Development,288,Mobile Apps,10,4.41
487,PLC Programming From Scratch (PLC I),This course will give a person with no prior experience the basic tools necessary to create  a PLC program from scratch.,https://udemy-images.udemy.com/course/480x270/118042_251a_11.jpg,Paul Lynn,/plc-programming-from-scratch/,$99.99,IT & Software,294,Hardware,136,4.61
488,Learn to Create Pixel Art for your Games,Improve your pixel art with these simple techniques and principles.,https://udemy-images.udemy.com/course/480x270/522596_f45e.jpg,Benjamin Anderson,/learn-to-create-pixel-art-for-your-game/,$49.99,Design,269,Other,130,4.65
489,CompTIA Security+ Cert. (SY0-401): Practice Tests,Test your skills with 3 full practice exams that mimic the real CompTIA exams with - Certification Practice Tests.,https://udemy-images.udemy.com/course/480x270/1327786_3882.jpg,Total Seminars,/comptia-security-cert-sy0-401-practice-tests/,$99.99,IT & Software,294,Network & Security,134,4.4
490,Ermin Kreponic's Course for CentOS and Red Hat Linux - RHCSA,Learn the basics of CentOS and Red Hat Linux! Prepare and pass the Red Hat certified system administrator (RHCSA) exam!,https://udemy-images.udemy.com/course/480x270/502924_4d39_5.jpg,Ermin Kreponic,/red-hat-linux-centos-rhcsa/,$194.99,IT & Software,294,Operating Systems,138,4.24
491,Java&Android Development for beginners: 94 Hours+ & 84 Apps,This self-contained course will help you learn Android app development for beginners and create your first mobile apps.,https://udemy-images.udemy.com/course/480x270/900464_a431_9.jpg,Morteza Kordi,/java-android-complete-guide/,$199.99,Development,288,Mobile Apps,10,4.38
492,Financial Modeling for Startups & Small Businesses,Learn the best practices for building practical financial models for your startup or business.,https://udemy-images.udemy.com/course/480x270/1154754_cc5e_3.jpg,Evan Kimbrell,/financial-modeling-for-startups-small-businesses/,$194.99,Business,268,Finance,24,4.41
493,The Art of Energy Healing,"Channel Life-Changing Healing for Yourself, Your Friends, and Paying Clients",https://udemy-images.udemy.com/course/480x270/1171110_4871.jpg,Alexander Fairman,/the-art-of-energy-healing/,$199.99,Health & Fitness,276,Meditation,242,4.58
494,Sales Machine: The Sales Training B2B Master Course,"Learn Sales Strategies & Sales Techniques to Sell ANYTHING for Entrepreneurs, Startup, B2B Sales, & Business Development",https://udemy-images.udemy.com/course/480x270/1426364_6764_2.jpg,Patrick Dang,/sales-machine-sales-training/,$194.99,Business,268,Sales,32,4.69
495,Unreal Engine 4: The Complete Beginner's Course,Learn Video Game Development & How To Design a Game From Scratch Using UE4,https://udemy-images.udemy.com/course/480x270/660600_39b2_3.jpg,David Nixon,/unreal-engine-4-the-complete-beginners-course/,$199.99,Development,288,Game Development,14,4.48
496,Master your brain: Neuroscience for personal development,"Discover how this approach can help with stress, self confidence, motivation, change, communication, relations, ...",https://udemy-images.udemy.com/course/480x270/277654_7a46_6.jpg,Gregory Caremans - Brain Academy,/my-brain-and-i/,$199.99,Personal Development,296,Personal Transformation,142,4.47
497,Private Label Products: Create Brands & Sell with Amazon FBA,"Learn How to Develop Your Own Brand Sourcing Products from China (Alibaba), Selling on Amazon with FBA From Around World",https://udemy-images.udemy.com/course/480x270/408524_dba5_2.jpg,Anthony Monfet,/private-label-products/,$19.99,Business,268,Home Business,46,4.48
498,Cryptocurrency Trading: Complete Guide To Trading Altcoins,"Cryptocurrency Trading Course From A Traders Perspective. Packed With Strategies, Examples, ICO Walkthroughs & More!",https://udemy-images.udemy.com/course/480x270/1247394_58d6.jpg,Ravinder Deol,/cryptocurrency-trading/,$99.99,Business,268,Finance,24,4.21
499,The 2D Game Artist - Design Amazing Art Assets From Scratch,Make 2D art for games. From icons to animations. Using GIMP - the free Photoshop alternative.,https://udemy-images.udemy.com/course/480x270/1188846_5a48_4.jpg,Michael Bridges,/gimpforgames/,$94.99,Development,288,Game Development,14,4.68
500,Docker for Java Developers,Learn how you can use Docker to supercharge your enterprise Java Development!,https://udemy-images.udemy.com/course/480x270/1121254_5463.jpg,John Thompson,/docker-for-java-developers/,$149.99,Development,288,Software Engineering,20,4.4
501,"Ensemble Machine Learning in Python: Random Forest, AdaBoost","Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python",https://udemy-images.udemy.com/course/480x270/1041564_6b27.jpg,Lazy Programmer Inc.,/machine-learning-in-python-random-forest-adaboost/,$119.99,Business,268,Data & Analytics,44,4.63
502,THE ART & SCIENCE OF DRAWING / BASIC SKILLS,DRAWING IS NOT A TALENT.  IT'S A SKILL ANYONE CAN LEARN.,https://udemy-images.udemy.com/course/480x270/1045092_8c2f_2.jpg,Brent Eviston,/the-art-and-science-of-drawing/,$24.99,Lifestyle,274,Arts & Crafts,180,4.76
503,The Complete Apple Watch Developer Course - Build 14 Apps,Build real apps for the new Apple Watch - no programming experience required.,https://udemy-images.udemy.com/course/480x270/370636_1f03_2.jpg,Rob Percival,/complete-apple-watch-developer-course/,$99.99,Development,288,Mobile Apps,10,4.74
504,"Microsoft Excel - Intro to Power Query, Power Pivot & DAX","Get up & running with Excel's data modeling & business intelligence tools, taught by a best-selling Excel instructor!",https://udemy-images.udemy.com/course/480x270/1137048_c1d7_3.jpg,Chris Dutton,/microsoft-excel-power-query-power-pivot-dax/,$174.99,Office Productivity,292,Microsoft,96,4.82
505,Social Media Marketing & Marketing Strategy Masterclass 2018,"Digital Marketing, Blogging Email Marketing YouTube Local SEO Vlogging SEO Instagram Quora Pinterest Podcasting",https://udemy-images.udemy.com/course/480x270/959128_f401_2.jpg,Mark Timberlake,/social-media-marketing-masterclass/,$199.99,Marketing,290,Social Media Marketing,66,4.43
506,Learn 3D Animation - The Ultimate Blender Guide,A-Z Guide to Learning 3D Animation and Modeling With Blender to Set You on Your Way to Creating Awesome 3D Artwork,https://udemy-images.udemy.com/course/480x270/922654_100d.jpg,Alex Cordebard,/blendercourse/,$194.99,Design,269,3D & Animation,120,4.58
507,How To Sing #1: Complete Vocal Warm ups & Voice Physiology,Singing Lessons for Vocal Warm Up's Tips & Voice Essentials,https://udemy-images.udemy.com/course/480x270/450918_4af0_3.jpg,Roma Waterman,/singing-lessons-online/,$149.99,Music,278,Vocal,302,4.58
508,Microsoft Excel 2011 for Mac Tutorial - Learn The Easy Way.,Learn Microsoft Excel 2011 for Mac at your own pace. Comes with Certificate of Completion,https://udemy-images.udemy.com/course/480x270/17164_80ce_9.jpg,Infinite Skills,/learning-microsoft-excel-2011-for-mac/,$49.99,Office Productivity,292,Microsoft,96,4.36
509,How to Evaluate Real Estate Investment Opportunities,Learn professional real estate investing concepts and techniques to pick winners in investment real estate,https://udemy-images.udemy.com/course/480x270/148902_af91_14.jpg,Symon He,/real-estate-investment-analysis/,$199.99,Business,268,Real Estate,58,4.6
